,precision,recall,f1-score,support
Connect socially,0.39208173690932313,0.39715394566623546,0.39460154241645246,773.0
Maintain habits,0.4159859976662777,0.5484615384615384,0.47312541473125413,1300.0
Prepare for bed,0.3884462151394422,0.3027950310559006,0.3403141361256545,644.0
Reduce screen time,0.25,0.11612903225806452,0.15859030837004406,620.0
Stay active,0.3265940902021773,0.2803738317757009,0.3017241379310345,749.0
Take a short break,0.34205607476635513,0.40043763676148797,0.3689516129032258,914.0
accuracy,0.3726,0.3726,0.3726,0.3726
macro avg,0.3525273524472626,0.34089183599648804,0.3395511920796109,5000.0
weighted avg,0.3612557136089496,0.3726,0.360158295959358,5000.0
