model,brier_score,probability_mae,js_divergence,top1_agreement,top2_coverage,selection_score
MLP,9.575436274192797e-05,0.002891686276612434,0.00015272102116491165,0.9880625000000001,1.0,0.5945812782561398
Extra Trees,0.0027007151448549633,0.012884273963789055,0.0023902872991212907,0.9535,0.9938125,0.5771131531189182
Random Forest,0.0031281092316985163,0.01410696806655996,0.0026086649372479287,0.9374375,0.9895624999999999,0.5691079229514882
Ridge,0.015172429928009542,0.0351029962036679,0.012992010469695794,0.827875,0.9734375,0.5128174659475432
