model,brier_score,probability_mae,js_divergence,top1_agreement,top2_coverage,selection_score
MLP,8.276781465305162e-05,0.0026291595254477862,8.13258118663542e-05,0.9846875,0.999875,0.5930577341745568
Extra Trees,0.002573655767612586,0.014104473885928332,0.0021677897549391796,0.9201874999999999,0.9898125,0.5615876675948559
Random Forest,0.003351493986875196,0.016403853314918712,0.0028345436688209233,0.9028124999999999,0.9839375,0.552593194952958
Ridge,0.01135526900313102,0.030672416402786378,0.010985968673917892,0.7951250000000001,0.9609375,0.4974601624481296
