prediction,count,mean_top_probability,median_top_probability,mean_margin,mean_probability_error,top1_agreement
Connect socially,5802,0.5318775454091692,0.5406001479263896,0.32199418276772646,0.0024023541832035975,0.9924164081351258
Maintain habits,545,0.3732937519405565,0.3601518397837338,0.13372810679053374,0.002906160583954334,0.9889908256880734
Prepare for bed,3517,0.4308051424353467,0.4099300582383863,0.20423538110266024,0.003193744560757927,0.9866363377878874
Reduce screen time,1077,0.34292635155560974,0.33667413092884557,0.11609333570246591,0.0030838416086733204,0.9953574744661096
Stay active,1811,0.2987929127016067,0.2947416792511343,0.05080538675471877,0.002516002545267553,0.9779127553837659
Take a short break,7248,0.4461626159918571,0.42177104620351047,0.22512483316330473,0.0023273248630454953,0.9937913907284768
