model,accuracy,accuracy_std,balanced_accuracy,macro_f1,log_loss,selection_score
Logistic Regression,0.41850000000000004,0.008212033852828423,0.39452463237380814,0.38334508265352063,1.4979619132075426,0.334716092313419
Random Forest,0.41712499999999997,0.004460766470013866,0.3718219085267372,0.3689893941787853,1.4986050028599687,0.319021365719649
Hist Gradient Boosting,0.442,0.007847670832801287,0.35852820054802775,0.3598643854656639,1.4368693500731318,0.31362851992693164
Extra Trees,0.40049999999999997,0.006363347193105229,0.3694025126750638,0.3598487707053692,1.5234124493219932,0.31165764065439183
